,유형,상세분류,시군구코드,도로명코드,도로명주소,기관명,위치X,위치Y,전화번호,가점척도
679,자치단체,시군구,27290,3147045,대구광역시 달서구 학산로 45,달서구청,1093288.093,1759761.08,053-667-2000,1
681,자치단체,시군구,27140,3142028,대구광역시 동구 아양로 207,동구청,1102539.983,1766175.148,053-662-2000,1
683,자치단체,시군구,27230,3007021,대구광역시 북구 옥산로 65,북구청,1097730.887,1765995.617,053-665-2000,1
684,자치단체,시군구,27170,3007001,대구광역시 서구 국채보상로 257,서구청,1095625.723,1764491.424,053-663-2000,1
685,자치단체,시군구,27260,2007002,대구광역시 수성구 달구벌대로 2450,수성구청,1102085.185,1762995.999,053-666-2000,1
686,자치단체,시군구,27110,4223020,대구광역시 중구 국채보상로139길 1,중구청,1099856.445,1764208.718,053-661-2000,1
687,자치단체,읍면동,27710,3007026,대구광역시 달성군 논공읍 비슬로 1779,논공읍행정복지센터,1083184.296,1753488.031,053-668-5471,1
688,자치단체,읍면동,27710,3148028,대구광역시 달성군 다사읍 매곡로 7,다사읍행정복지센터,1086150.945,1763250.238,053-668-5523,1
689,자치단체,읍면동,27710,3007026,대구광역시 달성군 화원읍 비슬로 2594,화원읍행정복지센터,1090416.214,1756882.333,053-668-5411,1
690,자치단체,읍면동,27710,3148002,대구광역시 달성군 가창면 가창로 1100,가창면사무소,1101451.705,1756832.963,053-668-5571,1
691,자치단체,읍면동,27710,4244502,대구광역시 달성군 구지면 창리로11길 38,구지면사무소,1082694.409,1740673.951,053-668-5761,1
692,자치단체,읍면동,27710,3007026,대구광역시 달성군 옥포읍 비슬로 2215,옥포읍행정복지센터,1087115.805,1755186.383,053-668-5651,1
693,자치단체,읍면동,27710,3341006,대구광역시 달성군 유가읍 테크노상업로 95,유가읍행정복지센터,1086840.422,1744606.293,053-668-5796,1
694,자치단체,읍면동,27710,4244542,대구광역시 달성군 하빈면 하빈로84길 1,하빈면사무소,1085324.475,1767557.271,053-668-5611,1
695,자치단체,읍면동,27710,4244271,대구광역시 달성군 현풍읍 비슬로134길 157,현풍읍행정복지센터,1085728.997,1744968.753,053-668-5692,1
696,자치단체,읍면동,27200,4232077,대구광역시 남구 대명복개로4길 166,대명10동주민센터,1096538.516,1760917.903,053-664-3931,1
697,자치단체,읍면동,27200,4232021,대구광역시 남구 관문시장4길 53,대명11동주민센터,1095791.56,1760489.586,053-664-3951,1
698,자치단체,읍면동,27200,4232288,대구광역시 남구 장전2길 5,대명1동주민센터,1097252.946,1760965.663,053-664-3791,1
699,자치단체,읍면동,27200,4232132,대구광역시 남구 명덕로32길 30,대명2동주민센터,1098080.771,1762627.276,053-664-3811,1
700,자치단체,읍면동,27200,4232126,대구광역시 남구 명덕로20길 115,대명3동행정복지센터,1097435.607,1762289.058,053-664-3831,1
701,자치단체,읍면동,27200,4232116,대구광역시 남구 두류공원로20길 19,대명4동주민센터,1096581.099,1761577.357,053-664-3851,1
702,자치단체,읍면동,27200,4232070,대구광역시 남구 대명로58길 11,대명5동주민센터,1098236.73,1761291.324,053-664-3871,1
703,자치단체,읍면동,27200,3144002,대구광역시 남구 대명남로 73,대명6동주민센터,1096285.764,1760367.407,053-664-3891,1
704,자치단체,읍면동,27200,4232331,대구광역시 남구 큰골길 53,대명9동행정복지센터,1097452.887,1760619.752,053-664-3911,1
705,자치단체,읍면동,27200,3141015,대구광역시 남구 이천로 51,봉덕1동주민센터,1099117.932,1761603.258,053-664-3731,1
706,자치단체,읍면동,27200,4232263,대구광역시 남구 이천로10길 50,봉덕2동주민센터,1099437.853,1761371.517,053-664-3751,1
707,자치단체,읍면동,27200,4232296,대구광역시 남구 중앙대로22길 100,봉덕3동행정복지센터,1098971.851,1761210.482,053-664-3771,1
708,자치단체,읍면동,27200,4232270,대구광역시 남구 이천로28길 18,이천동행정복지센터,1099272.67,1762462.966,053-664-3711,1
709,자치단체,읍면동,27290,4241017,대구광역시 달서구 감삼북길 119-10,감삼동행정복지센터,1094106.94,1762111.291,053-667-4171,1
710,자치단체,읍면동,27290,3147047,대구광역시 달서구 한실로 53,도원동행정복지센터,1093255.93,1757272.261,053-667-4691,1
711,자치단체,읍면동,27290,4241263,대구광역시 달서구 성당로51길 32,두류1.2동행정복지센터,1096812.374,1762658.249,053-667-4061,1
712,자치단체,읍면동,27290,4241390,대구광역시 달서구 야외음악당로39길 24,두류3동행정복지센터,1095304.573,1762421.61,053-667-4111,1
713,자치단체,읍면동,27290,4241028,대구광역시 달서구 구마로26길 62,본동행정복지센터,1094024.035,1760270.865,053-667-4781,1
714,자치단체,읍면동,27290,3143012,대구광역시 달서구 당산로 37-14,본리동행정복지센터,1094208.136,1761002.046,053-667-4141,1
715,자치단체,읍면동,27290,3147010,대구광역시 달서구 상인서로 40,상인1동행정복지센터,1094406.281,1758036.773,053-667-4601,1
716,자치단체,읍면동,27290,3147008,대구광역시 달서구 상원로 27,상인2동행정복지센터,1093617.743,1757838.657,053-667-4631,1
717,자치단체,읍면동,27290,3147009,대구광역시 달서구 상인로 25,상인3동행정복지센터,1094880.367,1757576.183,053-667-4661,1
718,자치단체,읍면동,27290,3147026,대구광역시 달서구 야외음악당로 38,성당동행정복지센터,1095110.104,1760967.291,053-667-4011,1
719,자치단체,읍면동,27290,4241583,대구광역시 달서구 중흥로8길 41,송현1동행정복지센터,1095268.912,1759706.364,053-667-4721,1
720,자치단체,읍면동,27290,4241509,대구광역시 달서구 월배로83길 120-14,송현2동행정복지센터,1094436.039,1760091.89,053-667-4751,1
721,자치단체,읍면동,27290,3147015,대구광역시 달서구 선원로 60,신당동행정복지센터,1090183.874,1762951.667,053-667-4381,1
722,자치단체,읍면동,27290,3147027,대구광역시 달서구 용산로 212-7,용산1동행정복지센터,1093111.355,1762726.507,053-667-4261,1
723,자치단체,읍면동,27290,3147015,대구광역시 달서구 선원로 278,용산2동행정복지센터,1092365.919,1762914.664,053-667-4301,1
724,자치단체,읍면동,27290,3147039,대구광역시 달서구 조암남로 97,월성1동행정복지센터,1092397.013,1758597.982,053-667-4411,1
725,자치단체,읍면동,27290,3147031,대구광역시 달서구 월성로 65,월성2동행정복지센터,1092874.965,1759871.502,053-667-4441,1
726,자치단체,읍면동,27290,2007002,대구광역시 달서구 달구벌대로 1309,이곡1동행정복지센터,1091260.11,1762150.732,053-667-4321,1
727,자치단체,읍면동,27290,3147001,대구광역시 달서구 계대동문로 77,이곡2동행정복지센터,1090362.972,1762597.002,053-667-4351,1
728,자치단체,읍면동,27290,3147036,대구광역시 달서구 장기로 277,장기동행정복지센터,1093014.011,1761248.413,031-980-5967,1
729,자치단체,읍면동,27290,4241440,대구광역시 달서구 와룡로54길 28,죽전동행정복지센터,1093887.03,1762637.86,053-667-4201,1
730,자치단체,읍면동,27290,4241593,대구광역시 달서구 진천로9길 33,진천동행정복지센터,1092402.911,1757789.151,053-667-4471,1
731,자치단체,읍면동,27140,4226338,대구광역시 동구 팔공로91길 9,공산동주민센터,1103204.603,1772109.507,053-662-3320,1
732,자치단체,읍면동,27140,4226316,대구광역시 동구 팔공로24길 171,도평동주민센터,1103778.462,1768759.051,053-662-3311,1
733,자치단체,읍면동,27140,4226084,대구광역시 동구 동촌로11길 5,동촌동행정복지센터,1103759.822,1766536.181,053-662-3314,1
734,자치단체,읍면동,27140,4226096,대구광역시 동구 동촌로48길 26,방촌동주민센터,1105182.938,1765454.681,053-662-3315,1
736,자치단체,읍면동,27140,4226317,대구광역시 동구 팔공로25길 16,불로봉무동행정복지센터,1102799.254,1768793.127,053-662-3312,1
738,자치단체,읍면동,27140,4226232,대구광역시 동구 아양로7길 27,신암1동행정복지센터,1100762.287,1765875.63,053-662-3301,1
740,자치단체,읍면동,27140,3142024,대구광역시 동구 신성로 56,신암2동주민센터,1100438.824,1765393.171,053-662-3302,1
741,자치단체,읍면동,27140,3142025,대구광역시 동구 신암남로 67,신암3동주민센터,1101381.821,1765360.316,053-662-3303,1
742,자치단체,읍면동,27140,4226188,대구광역시 동구 신암남로23길 53,신암4동행정복지센터,1101932.882,1765972.278,053-662-3304,1
743,자치단체,읍면동,27140,4226217,대구광역시 동구 아양로37길 92,신암5동주민센터,1102263.844,1766499.657,053-662-3305,1
744,자치단체,읍면동,27140,4226030,대구광역시 동구 국채보상로159길 41,신천1.2동주민센터,1100644.651,1764280.912,053-662-3306,1
745,자치단체,읍면동,27140,3142038,대구광역시 동구 장등로 90,신천3동주민센터,1101438.628,1764898.204,053-662-3724,1
746,자치단체,읍면동,27140,4226069,대구광역시 동구 동부로30길 61-7,신천4동주민센터,1101947.853,1764496.19,053-662-3308,1
747,자치단체,읍면동,27140,3142034,대구광역시 동구 율하동로 121,안심1동행정복지센터,1108522.527,1764425.869,053-662-3317,1
748,자치단체,읍면동,27140,4226125,대구광역시 동구 반야월로1길 28,안심2동주민센터,1107158.756,1764968.11,053-662-3318,1
750,자치단체,읍면동,27140,4226241,대구광역시 동구 안심로49길 98,안심3.4동행정복지센터,1109309.918,1764450.222,053-662-3319,1
752,자치단체,읍면동,27140,4226353,대구광역시 동구 해동로3길 80,지저동주민센터,1102730.055,1766908.224,053-662-3313,1
754,자치단체,읍면동,27140,4226157,대구광역시 동구 방촌로29길 46,해안동행정복지센터,1105759.597,1765688.813,053-662-3316,1
756,자치단체,읍면동,27140,4226373,대구광역시 동구 화랑로41길 46,효목1동행정복지센터,1103346.542,1765609.534,053-662-3309,1
758,자치단체,읍면동,27140,4226366,대구광역시 동구 화랑로25길 45,효목2동행정복지센터,1103017.468,1765221.131,053-662-3781,1
760,자치단체,읍면동,27230,4235017,대구광역시 북구 검단로41길 12,검단동주민센터,1101706.878,1769123.186,053-665-3316,1
762,자치단체,읍면동,27230,4235041,대구광역시 북구 고성로31길 21,고성동주민센터,1097801.282,1765570.585,053-665-3301,1
764,자치단체,읍면동,27230,4235208,대구광역시 북구 매천로18길 34,관문동주민센터,1094144.772,1767640.361,053-665-3318,1
766,자치단체,읍면동,27230,3145008,대구광역시 북구 관음동로 125,관음동행정복지센터,1094461.254,1772457.052,053-665-3322,1
768,자치단체,읍면동,27230,3145013,대구광역시 북구 구암서로 32,구암동행정복지센터,1096155.324,1771885.26,053-665-3321,1
770,자치단체,읍면동,27230,3145011,대구광역시 북구 구리로 188,국우동행정복지센터,1096988.609,1772903.217,053-665-3325,1
771,자치단체,읍면동,27230,4235104,대구광역시 북구 노원로10길 166,노원동주민센터,1097133.831,1766484.219,053-665-3306,1
772,자치단체,읍면동,27230,3145022,대구광역시 북구 대현남로 25,대현동행정복지센터,1099709.285,1765561.935,053-665-3315,1
773,자치단체,읍면동,27230,3145020,대구광역시 북구 대천로 81,동천동주민센터,1095448.422,1771699.565,031-324-8702,1
774,자치단체,읍면동,27230,4235489,대구광역시 북구 호국로43길 20,무태조야동행정복지센터,1098974.188,1769966.272,053-665-3317,1
775,자치단체,읍면동,27230,4235188,대구광역시 북구 동북로52길 7,복현1동주민센터,1100952.616,1766928.761,053-665-3312,1
776,자치단체,읍면동,27230,4235221,대구광역시 북구 복현로8길 16-5,복현2동주민센터,1101573.6,1767112.654,053-665-3313,1
777,자치단체,읍면동,27230,4235278,대구광역시 북구 연암로36길 6,산격1동행정복지센터,1098986.211,1767641.14,053-665-3308,1
778,자치단체,읍면동,27230,4235183,대구광역시 북구 동북로31길 30,산격2동주민센터,1100101.318,1767802.894,053-665-3309,1
779,자치단체,읍면동,27230,4235143,대구광역시 북구 대학로15길 16,산격3동주민센터,1100025.42,1766891.185,053-665-3310,1
780,자치단체,읍면동,27230,3145017,대구광역시 북구 대구체육관로 48,산격4동주민센터,1099665.581,1766751.726,053-665-3311,1
781,자치단체,읍면동,27230,2145001,대구광역시 북구 칠곡중앙대로 561,읍내동행정복지센터,1094753.895,1772635.32,053-665-3323,1
782,자치단체,읍면동,27230,4235393,대구광역시 북구 칠성로19길 4,칠성동행정복지센터,1099295.504,1765296.187,053-665-3302,1
783,자치단체,읍면동,27230,4235406,대구광역시 북구 침산남로13길 16,침산1동주민센터,1097596.494,1766508.139,053-665-3303,1
784,자치단체,읍면동,27230,3145043,대구광역시 북구 침산남로 195,침산2동주민센터,1099011.332,1766185.52,053-665-3304,1
785,자치단체,읍면동,27230,3145032,대구광역시 북구 성북로 55,침산3동주민센터,1098315.471,1766702.626,053-665-3305,1
786,자치단체,읍면동,27230,4235447,대구광역시 북구 태전로7길 10-24,태전1동주민센터,1094131.428,1770220.915,053-665-3319,1
787,자치단체,읍면동,27230,4235348,대구광역시 북구 칠곡중앙대로52길 32,태전2동행정복지센터,1094617.8,1769934.023,053-665-3320,1
788,자치단체,읍면동,27170,4229236,대구광역시 서구 서대구로4길 35,내당1동주민센터,1095767.338,1763198.266,053-663-3301,1
789,자치단체,읍면동,27170,4229304,대구광역시 서구 큰장로15길 11-1,내당2.3동행정복지센터,1097008.938,1763945.924,053-663-3302,1
790,자치단체,읍면동,27170,4229230,대구광역시 서구 서대구로3길 46,내당4동주민센터,1094969.973,1763007.809,053-663-3303,1
791,자치단체,읍면동,27170,4229195,대구광역시 서구 북비산로65길 18,비산1동주민센터,1096490.492,1765482.395,031-8045-4600,1
792,자치단체,읍면동,27170,4229065,대구광역시 서구 국채보상로81길 43,비산2.3동행정복지센터,1097014.89,1764892.141,053-663-3305,1
793,자치단체,읍면동,27170,4229062,대구광역시 서구 국채보상로78길 29-4,비산4동주민센터,1096984.162,1764218.55,053-663-3306,1
794,자치단체,읍면동,27170,4229127,대구광역시 서구 달서천로65길 17,비산5동주민센터,1096544.382,1766054.079,053-663-3307,1
795,자치단체,읍면동,27170,4229169,대구광역시 서구 문화로67길 3,비산6동주민센터,1096505.909,1764940.474,053-663-3308,1
796,자치단체,읍면동,27170,4229253,대구광역시 서구 염색공단로5길 4,비산7동행정복지센터,1095090.088,1766218.057,053-663-3309,1
797,자치단체,읍면동,27170,3143012,대구광역시 서구 당산로 343,상중이동행정복지센터,1094443.52,1763884.456,053-663-3316,1
798,자치단체,읍면동,27170,4229108,대구광역시 서구 달서로55길 5,원대동주민센터,1096972.284,1766111.438,053-663-3317,1
799,자치단체,읍면동,27170,3143004,대구광역시 서구 문화로 280,평리1동주민센터,1095981.183,1764857.69,053-663-3310,1
800,자치단체,읍면동,27170,4229047,대구광역시 서구 국채보상로60길 6,평리2동주민센터,1096021.163,1764372.054,053-663-3311,1
801,자치단체,읍면동,27170,3143004,대구광역시 서구 문화로 261,평리3동주민센터,1095803.842,1764895.171,053-663-3312,1
802,자치단체,읍면동,27170,4229037,대구광역시 서구 국채보상로46길 37-3,평리4동행정복지센터,1095407.905,1763935.347,053-663-3313,1
803,자치단체,읍면동,27170,4229228,대구광역시 서구 서대구로37길 48,평리5동주민센터,1094672.559,1764640.932,053-663-3314,1
804,자치단체,읍면동,27170,4229148,대구광역시 서구 당산로86길 13,평리6동주민센터,1094626.426,1764797.931,053-663-3315,1
805,자치단체,읍면동,27260,2007002,대구광역시 수성구 달구벌대로 3260-2,고산1동행정복지센터,1109497.345,1760742.965,053-666-3321,1
806,자치단체,읍면동,27260,2007002,대구광역시 수성구 달구벌대로 3091,고산2동행정복지센터,1107934.033,1761431.989,053-666-3322,1
807,자치단체,읍면동,27260,3146002,대구광역시 수성구 고산로 152,고산3동행정복지센터,1108962.027,1761517.893,053-666-3323,1
808,자치단체,읍면동,27260,3146011,대구광역시 수성구 무학로 112,두산동행정복지센터,1101214.208,1759788.355,053-666-3316,1
809,자치단체,읍면동,27260,3007001,대구광역시 수성구 국채보상로 1001,만촌1동행정복지센터,1102925.707,1763901.523,053-666-3305,1
810,자치단체,읍면동,27260,3146010,대구광역시 수성구 무열로 12,만촌2동행정복지센터,1103581.596,1763197.466,053-666-3306,1
811,자치단체,읍면동,27260,4238026,대구광역시 수성구 교학로2길 45,만촌3동행정복지센터,1103888.741,1762719.31,053-666-3307,1
812,자치단체,읍면동,27260,3007006,대구광역시 수성구 범안로 76,범물1동행정복지센터,1103523.179,1758525.486,053-666-3319,1
813,자치단체,읍면동,27260,3007006,대구광역시 수성구 범안로 52,범물2동행정복지센터,1103294.238,1758495.256,053-666-3320,1
814,자치단체,읍면동,27260,3146013,대구광역시 수성구 범어천로 97,범어1동행정복지센터,1101313.728,1762691.117,053-666-3301,1
815,자치단체,읍면동,27260,4238063,대구광역시 수성구 달구벌대로489안길 7,범어2동행정복지센터,1102140.996,1763206.601,053-666-3302,1
816,자치단체,읍면동,27260,3146008,대구광역시 수성구 들안로 403-1,범어3동행정복지센터,1100917.615,1763858.611,053-666-3303,1
817,자치단체,읍면동,27260,4238243,대구광역시 수성구 범어로20길 97,범어4동행정주민센터,1103044.122,1762997.434,053-666-3304,1
818,자치단체,읍면동,27260,4238186,대구광역시 수성구 들안로9길 56,상동행정복지센터,1100748.507,1760088.257,053-666-3314,1
819,자치단체,읍면동,27260,4238201,대구광역시 수성구 명덕로73길 7,수성1가동행정복지센터,1100257.074,1762633.724,053-666-3308,1
820,자치단체,읍면동,27260,3141013,대구광역시 수성구 명덕로 443-2,수성2.3가동행정복지센터,1101040.251,1762603.165,053-666-3309,1
821,자치단체,읍면동,27260,4238178,대구광역시 수성구 들안로67길 64,수성4가동행정복지센터,1100817.66,1763474.514,053-666-3310,1
822,자치단체,읍면동,27260,4238284,대구광역시 수성구 수성로50길 38,중동행정복지센터,1100695.683,1761775.994,032-320-3000,1
823,자치단체,읍면동,27260,4238360,대구광역시 수성구 지범로21길 16,지산1동행정복지센터,1102703.841,1759310.696,053-666-3317,1
824,자치단체,읍면동,27260,4238339,대구광역시 수성구 용학로33길 9,지산2동행정복지센터,1101894.249,1759103.119,053-666-3318,1
825,자치단체,읍면동,27260,3146031,대구광역시 수성구 파동로 136,파동행정복지센터,1100747.119,1758244.469,053-666-3315,1
826,자치단체,읍면동,27260,4238417,대구광역시 수성구 청호로57길 10,황금1동행정복지센터,1102782.027,1761426.67,053-666-3732,1
827,자치단체,읍면동,27260,4238405,대구광역시 수성구 청수로31길 45,황금2동행정복지센터,1101616.572,1761143.566,053-666-3312,1
828,자치단체,읍면동,27110,4223001,대구광역시 중구 2·28길 18-15,남산1동주민센터,1098454.328,1763082.481,053-661-3308,1
829,자치단체,읍면동,27110,3141007,대구광역시 중구 명륜로 27-1,남산2동주민센터,1098370.307,1763606.584,053-661-3309,1
830,자치단체,읍면동,27110,4223039,대구광역시 중구 남산로4길 70,남산3동주민센터,1098013.435,1763139.59,053-661-3310,1
831,자치단체,읍면동,27110,4223035,대구광역시 중구 남산로1길 42,남산4동행정복지센터,1097565.346,1762947.447,053-661-3311,1
832,자치단체,읍면동,27110,4223054,대구광역시 중구 달구벌대로440길 27,대봉1동주민센터,1099710.257,1763336.637,053-661-3312,1
833,자치단체,읍면동,27110,4223072,대구광역시 중구 대봉로45길 29,대봉2동주민센터,1099297.768,1762958.708,053-661-3313,1
834,자치단체,읍면동,27110,4223047,대구광역시 중구 달구벌대로389길 50,대신동주민센터,1097174.863,1763759.391,053-661-3307,1
835,자치단체,읍면동,27110,4223022,대구광역시 중구 국채보상로142길 19-5,동인동행정복지센터,1100131.761,1764050.075,053-661-3301,1
836,자치단체,읍면동,27110,4223058,대구광역시 중구 달구벌대로447길 72-11,삼덕동주민센터,1100117.547,1763786.166,053-661-3303,1
837,자치단체,읍면동,27110,4223085,대구광역시 중구 동성로3길 87,성내1동주민센터,1099127.888,1764187.914,053-661-3304,1
838,자치단체,읍면동,27110,4223052,대구광역시 중구 달구벌대로415길 48,성내2동주민센터,1098438.887,1764084.348,053-661-3305,1
839,자치단체,읍면동,27110,4223113,대구광역시 중구 서성로13길 32-10,성내3동주민센터,1098012.957,1764546.599,053-661-3306,1
840,자치단체,기술센터,27140,4226093,대구광역시 동구 동촌로42길 69,농업기술센터,1104730.865,1765454.674,033-660-3140,1
841,자치단체,기술센터,27710,3007026,대구광역시 달성군 옥포읍 비슬로 2040,농업기술센터,1085565.258,1754445.647,033-660-3140,1
